First frame captured
69.9s: sim_to_first=96.62% avg_diff=2.549 sim_to_prev=97.12%
70.5s: sim_to_first=97.15% avg_diff=1.983 sim_to_prev=96.54%
71.1s: sim_to_first=97.48% avg_diff=1.803 sim_to_prev=97.57%
71.8s: sim_to_first=97.56% avg_diff=1.772 sim_to_prev=98.07%
72.4s: sim_to_first=97.57% avg_diff=1.829 sim_to_prev=98.27%
73.1s: sim_to_first=97.43% avg_diff=1.955 sim_to_prev=98.32%
73.7s: sim_to_first=97.26% avg_diff=2.092 sim_to_prev=98.12%
74.3s: sim_to_first=96.92% avg_diff=2.336 sim_to_prev=97.73%
75.0s: sim_to_first=96.88% avg_diff=2.348 sim_to_prev=97.18%
75.6s: sim_to_first=97.21% avg_diff=1.954 sim_to_prev=96.79%
76.2s: sim_to_first=97.50% avg_diff=1.789 sim_to_prev=97.67%
76.9s: sim_to_first=97.55% avg_diff=1.785 sim_to_prev=98.09%
77.5s: sim_to_first=97.65% avg_diff=1.786 sim_to_prev=98.35%
